name,ring,quadrant,isNew,status,description
Node.js v24,adopt,Core,FALSE,no change,Latest LTS version for production use
Node.js v22,hold,Core,FALSE,no change,Previous LTS version. Migrate to v24
TypeScript,adopt,Core,FALSE,no change,Static typing for JavaScript with strict mode configuration
Bun,hold,Core,FALSE,no change,Alternative JavaScript runtime. Not recommended for production use
Deno,hold,Core,FALSE,no change,Alternative JavaScript runtime. Not recommended for production use
Hono,adopt,Libraries,FALSE,no change,Modern lightweight web framework with excellent TypeScript support
Express,hold,Libraries,FALSE,no change,Legacy web framework. Use Hono for new projects
Fastify,hold,Libraries,FALSE,no change,Web framework. Use Hono for new projects
Zod,adopt,Libraries,FALSE,no change,Runtime type validation and schema definition
Joi,hold,Libraries,FALSE,no change,Legacy validation library. Use Zod instead
Yup,hold,Libraries,FALSE,no change,Legacy validation library. Use Zod instead
Node Test Framework,adopt,Libraries,FALSE,no change,Built-in Node.js testing framework
Jest,hold,Libraries,FALSE,no change,Legacy test runner. Use Node Test Framework instead
Vitest,hold,Libraries,FALSE,no change,Test runner. Use Node Test Framework instead
Haven Logger,adopt,Libraries,FALSE,no change,Structured logging library
Pino,hold,Libraries,FALSE,no change,Legacy logging library. Use Haven Logger instead
Drizzle,adopt,Libraries,FALSE,no change,TypeScript ORM with excellent type safety
Prisma,hold,Libraries,FALSE,no change,ORM with code generation. Use Drizzle instead
Sequelize,hold,Libraries,FALSE,no change,Legacy ORM. Use Drizzle instead
TypeORM,hold,Libraries,FALSE,no change,Legacy ORM. Use Drizzle instead
luxon,adopt,Libraries,FALSE,no change,Modern date and time library
date-fns,hold,Libraries,FALSE,no change,Legacy date library. Use luxon instead
Next.js 16,adopt,Libraries,FALSE,no change,Latest version of React meta-framework
Next.js 15,hold,Libraries,FALSE,no change,Previous version. Upgrade to Next.js 16
Node Assert,adopt,Libraries,FALSE,no change,Built-in Node.js assertion library for testing
Biome,adopt,Tooling,FALSE,no change,Fast linter and formatter replacing ESLint and Prettier
ESLint,hold,Tooling,FALSE,no change,Legacy linter. Migrate to Biome
Prettier,hold,Tooling,FALSE,no change,Legacy formatter. Migrate to Biome
npm,adopt,Tooling,FALSE,no change,Standard package manager for Node.js
pnpm,trial,Tooling,FALSE,no change,Efficient package manager with disk space optimization
yarn,hold,Tooling,FALSE,no change,Legacy package manager. Use npm or evaluate pnpm
Zen,adopt,Tooling,FALSE,no change,Preferred code editor
VSCode,hold,Tooling,FALSE,no change,Legacy editor. Use Zen instead
Webstorm,hold,Tooling,FALSE,no change,Legacy IDE. Use Zen instead
REST,adopt,Architecture,FALSE,no change,Standard approach for building HTTP APIs
GraphQL,hold,Architecture,FALSE,no change,Not recommended for building APIs. Use REST instead. GraphQL consumption is acceptable
RPC,hold,Architecture,FALSE,no change,Not recommended. Use REST for synchronous APIs
Event Oriented Architecture,adopt,Architecture,FALSE,no change,Preferred pattern for asynchronous system integration
WebSockets,trial,Architecture,FALSE,no change,Real-time bidirectional communication. Evaluate for specific use cases
CQRS,trial,Architecture,FALSE,no change,Command Query Responsibility Segregation pattern. Evaluate for complex domains
Event Sourcing,trial,Architecture,FALSE,no change,Store state changes as events. Evaluate for audit requirements and complex domains
